-7.135822,2.583795
-7.104812,2.731819
-7.067771,2.880210
-7.025859,3.027848
-6.980564,3.173287
-6.933580,3.314866
-6.885958,3.452860
-6.837730,3.588258
-6.788664,3.721231
-6.738528,3.851948
-6.687004,3.980477
-6.633725,4.106931
-6.578315,4.231422
-6.520411,4.354004
-6.459650,4.474694
-6.395669,4.593492
-6.328076,4.710377
-6.256447,4.825312
-6.180229,4.938207
-6.098778,5.048897
-6.011569,5.156925
-5.918507,5.261267
-5.819789,5.360720
-5.715745,5.454172
-5.606748,5.540666
-5.493216,5.619474
-5.375555,5.690022
-5.254172,5.751878
-5.129503,5.804753
-5.001977,5.848355
-4.872086,5.882546
-4.740361,5.907293
-4.607346,5.922593
-4.473600,5.928538
-4.339668,5.925378
-4.206044,5.913486
-4.073147,5.893295
-3.941302,5.865346
-3.810728,5.830277
-3.681543,5.788749
-3.553775,5.741456
-3.427373,5.689111
-3.302224,5.632441
-3.178167,5.572180
-3.054993,5.509096
-2.932433,5.443974
-2.810051,5.377528
-2.687481,5.311434
-2.564771,5.245731
-2.441924,5.180422
-2.318947,5.115495
-2.195854,5.050932
-2.072660,4.986704
-1.949382,4.922783
-1.826034,4.859142
-1.702761,4.795828
-1.579821,4.732347
-1.457093,4.668592
-1.334550,4.604508
-1.212194,4.540060
-1.090032,4.475225
-0.968071,4.409989
-0.846313,4.344344
-0.724756,4.278292
-0.603393,4.211847
-0.482212,4.145025
-0.361197,4.077860
-0.240327,4.010387
-0.119575,3.942654
0.001084,3.874712
0.121677,3.806618
0.242233,3.738432
0.362922,3.670213
0.483660,3.602074
0.604475,3.534060
0.725390,3.466209
0.846425,3.398555
0.967594,3.331122
1.088910,3.263932
1.210379,3.196998
1.332006,3.130329
1.453795,3.063935
1.575746,2.997817
1.697856,2.931973
1.820120,2.866395
1.942529,2.801074
2.065079,2.736001
2.187759,2.671162
2.310562,2.606548
2.433477,2.542144
2.556496,2.477937
2.679606,2.413910
2.802797,2.350047
2.926056,2.286332
3.049372,2.222746
3.172732,2.159272
3.296124,2.095892
3.419535,2.032586
3.542954,1.969337
3.666368,1.906128
3.789768,1.842942
3.913143,1.779765
4.036482,1.716581
4.159776,1.653374
4.283014,1.590131
4.406187,1.526836
4.529283,1.463475
4.652293,1.400032
4.775206,1.336492
4.898012,1.272841
5.020701,1.209064
5.143262,1.145146
5.265687,1.081071
5.387962,1.016823
