cx,cy,ix,iy,ox,oy
-7.170713246509071,2.5800232878305307,-4.994157935982824,3.468174648392328,-8.037653994410402,4.878343656700084
-7.122642950537954,2.7335412405652497,-4.931454152461458,3.569672747995684,-7.940537907668894,5.0512727552493715
-7.075126484875793,2.8836146672073757,-4.86765419758154,3.6678759125860694,-7.844231828434273,5.225061440300405
-7.027931815181003,3.0304133978956416,-4.803409032351247,3.7637738015588944,-7.7485186402038915,5.399488149663687
-6.980826907112001,3.1741072627687834,-4.739369617778767,3.858356074309575,-7.6531812264751045,5.574331321149709
-6.933579726327198,3.3148660919655306,-4.67618691487228,3.9526123902335244,-7.558002470745253,5.749369392568965
-6.885958238485011,3.452859715624619,-4.614511884639969,4.047532408726157,-7.462765256511691,5.924380801731949
-6.837730409243852,3.5882579638847805,-4.55499548809002,4.144105789182888,-7.36725246727177,6.09914398644916
-6.788664204262137,3.721230666884749,-4.498288686230612,4.243322190999129,-7.271246986522838,6.273437384531091
-6.738527589198279,3.851947654763258,-4.4450424400699315,4.346171273570297,-7.174531697762245,6.447039433788235
-6.687088529710694,3.9805787576590403,-4.395907710616162,4.453642696291803,-7.076889484487342,6.61972857203109
-6.634087653730146,4.107270706295131,-4.351322502511654,4.566416094577336,-6.978155625330107,6.7913758928234245
-6.579113716188703,4.232041904067028,-4.308546476219592,4.680544038977394,-6.878421523208542,6.962305420880385
-6.521703035944495,4.3548664477371055,-4.26239673983885,4.78852320817416,-6.777856721882096,7.132979365475228
-6.4613918821859135,4.475718392098561,-4.207627809393859,4.882759158689345,-6.676630784217267,7.303859969670183
-6.3977165241013525,4.594571791944588,-4.138994200909057,4.955657447044658,-6.574913273080554,7.475409476527485
-6.330213230879199,4.711400702068383,-4.051780959443832,5.00026528813999,-6.472873751338449,7.648090129109361
-6.258418271707846,4.826179177263141,-3.9477857253897746,5.01750667850882,-6.370681781857456,7.822364170478049
-6.181867915775686,4.938881272322057,-3.8331777548485255,5.013592948009905,-6.268506927504068,7.998693843695777
-6.10009974661334,5.0494794074821305,-3.7142013487106884,4.994818003203993,-6.166518751144784,8.177541391824779
-6.012852378716344,5.15769599472388,-3.596230213213518,4.965203389484972,-6.063812237166291,8.355793568142223
-5.920279773405777,5.262736908012252,-3.48285140413985,4.924107270619304,-5.9531768367344124,8.509356462302938
-5.8225872841808775,5.363744108427595,-3.3774326645964483,4.870315376799938,-5.8251092930147665,8.606507541028313
-5.7199802645409,5.459859557050264,-3.2833417376900753,4.802613438219814,-5.672388964085485,8.623133562389572
-5.612664067985082,5.550225214960606,-3.203946346763486,4.7197871994532985,-5.5020657868825005,8.582693332645688
-5.5008440480126755,5.63398304323897,-3.141018109489538,4.6217838220132395,-5.3246355534537235,8.519823430694013
-5.384725558122921,5.710275002965707,-3.090381807179015,4.512877722563344,-5.143285252253711,8.443692188067242
-5.2645139518150685,5.778243055221171,-3.046477506497155,4.39835091461672,-4.959569295686348,8.357779453952231
-5.140414582588359,5.837029161085708,-3.0037452741091997,4.283485411686481,-4.775042096155528,8.265565077535841
-5.012632985415299,5.885775660683583,-2.956625176680389,4.173563227285742,-4.591258066033579,8.170528907943131
-4.881502272614962,5.9238913654491,-2.9002231598209756,4.0732197617437125,-4.4094629243546395,8.075546253214993
-4.747706550260618,5.951518208863753,-2.834047005984249,3.982815936135706,-4.229684895869044,7.9811080961632825
-4.611989762609893,5.968923108662158,-2.759391038123107,3.9009778207067667,-4.051652091243092,7.887117680017287
-4.475095853920417,5.976372982578933,-2.6775547026272157,3.8263265105006843,-3.8750926211430947,7.79347824800629
-4.337768768449818,5.974134748348698,-2.5898374458862428,3.7574831005612457,-3.6997345962353547,7.700093043359583
-4.200752450455723,5.962475323706069,-2.497538714289858,3.6930686859322446,-3.5253061271861736,7.606865309306451
-4.064790844195761,5.941661626385663,-2.4019579542277274,3.631704361657467,-3.3515353246618584,7.513698289076176
-3.930627893927561,5.911960574122105,-2.304394612089519,3.5720112227807026,-3.1781502993287125,7.42049522589805
-3.7989867329359686,5.873654312193279,-2.2061465296636795,3.5126121187317536,-3.004879161853039,7.327159363001353
-3.6700626583663265,5.827411207498661,-2.108138140105634,3.452538164168187,-2.831489676455474,7.23360846227048
-3.543494268601187,5.774306967555035,-2.010443808627365,3.3917498930267356,-2.657936828078097,7.139828834125501
-3.4188935733962356,5.715436754974833,-1.9130202080049716,3.3303365179218485,-2.4842308031047566,7.045827000306943
-3.295872582507166,5.6518957323704875,-1.8158240110145512,3.268387251467972,-2.3103817958157156,6.95160948544652
-3.174043305689668,5.584779062354427,-1.7188118904321998,3.2059913062795533,-2.136400000491237,6.857182814175944
-3.053017752699434,5.515181907539086,-1.6219405190340166,3.143237894971041,-1.9622956114115824,6.76255351112692
-2.93240793329215,5.44419943053689,-1.5251665695960976,3.0802162301568807,-1.7880788228570157,6.6677281009311615
-2.8118258572235124,5.372926793960276,-1.4284467148945423,3.0170155244515207,-1.6137598291077992,6.572713108220374
-2.690883534249207,5.30245916042167,-1.331737627705447,2.9537249904694076,-1.4393488244441952,6.477515057626273
-2.5691979396103406,5.233878369239791,-1.2349959808049078,2.8904338408249894,-1.2648560031464675,6.382140473780562
-2.4466108895652803,5.167662970696397,-1.1381784469690246,2.827231288132712,-1.0902915594948792,6.286595881314956
-2.3232761387191863,5.1034545281786174,-1.0412416989738928,2.7642065450070246,-0.9156656877696895,6.190887804861162
-2.1993704141117405,5.040832965884849,-0.9441424095956115,2.7014488240623726,-0.740988582251166,6.095022769050891
-2.075070442782624,4.979378208013492,-0.8468372516102778,2.6390473379132047,-0.5662704372195695,5.999007298515851
-1.9505529517715188,4.918670178762941,-0.749282897793988,2.577091299173967,-0.39152144695516106,5.902847917887754
-1.8259946681181038,4.858288802331594,-0.6514360209228413,2.515669920459107,-0.2167518057382061,5.806551151798307
-1.7015723188620624,4.79781400291785,-0.5532532937729343,2.4548724143830736,-0.04197170784896606,5.710123524879224
-1.5774626310430737,4.736825704720104,-0.4546913891203638,2.394787993560311,0.13280865243229684,5.613571561762211
-1.453829371396498,4.67493338014383,-0.35570699821504553,2.335505835467084,0.3075790808253182,5.51690178707898
-1.3307068295497224,4.612041696545413,-0.256279114238034,2.2770726981161524,0.4823293830498362,5.420120725461238
-1.2080548321187345,4.54822508955408,-0.15645231808784937,2.219410588180627,0.657049364825588,5.3232349015406975
-1.0858323151950948,4.4835600251063585,-0.0562831870313585,2.162418694600656,0.8317288318723126,5.226250839949067
